Date : 2023-04-22 13:35:07
Directory : /Users/wik/Desktop/Developer/python
Total : 486 files,  41434 codes, 1186 comments, 3120 blanks, all 45740 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| XML      |         42 |     33,559 |         43 |          0 |     33,602 |
| Python   |        409 |      7,341 |        850 |      2,911 |     11,102 |
| C++      |          1 |        247 |        291 |        151 |        689 |
| HTML     |         17 |        222 |          2 |         45 |        269 |
| Markdown |         14 |         39 |          0 |         12 |         51 |
| JSON     |          2 |         20 |          0 |          0 |         20 |
| CSS      |          1 |          6 |          0 |          1 |          7 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                          | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                             |        486 |     41,434 |      1,186 |      3,120 |     45,740 |
| . (Files)                                                                                                                     |          1 |         16 |          0 |          6 |         22 |
| COMPETITIVE PROGRAMMING                                                                                                       |        170 |      2,314 |          9 |        704 |      3,027 |
| COMPETITIVE PROGRAMMING (Files)                                                                                               |          1 |          8 |          0 |          3 |         11 |
| COMPETITIVE PROGRAMMING/codeforces                                                                                            |        142 |      1,757 |          8 |        543 |      2,308 |
| COMPETITIVE PROGRAMMING/codewars                                                                                              |         27 |        549 |          1 |        158 |        708 |
| CTF                                                                                                                           |          4 |         25 |          3 |          9 |         37 |
| CTF (Files)                                                                                                                   |          1 |          1 |          0 |          0 |          1 |
| CTF/ctflearn                                                                                                                  |          3 |         24 |          3 |          9 |         36 |
| CTF/ctflearn/Reverse Polarity                                                                                                 |          1 |          7 |          0 |          5 |         12 |
| CTF/ctflearn/Simple Programming                                                                                               |          1 |          8 |          3 |          2 |         13 |
| CTF/ctflearn/The Credit Card Fraudster                                                                                        |          1 |          9 |          0 |          2 |         11 |
| DJANGO                                                                                                                        |         68 |        686 |        171 |        317 |      1,174 |
| DJANGO (Files)                                                                                                                |          1 |          2 |          0 |          1 |          3 |
| DJANGO/courseClassBased                                                                                                       |         33 |        331 |         73 |        157 |        561 |
| DJANGO/courseClassBased (Files)                                                                                               |          1 |         15 |          3 |          5 |         23 |
| DJANGO/courseClassBased/home                                                                                                  |         11 |         48 |          8 |         32 |         88 |
| DJANGO/courseClassBased/home (Files)                                                                                          |          7 |         21 |          6 |         17 |         44 |
| DJANGO/courseClassBased/home/migrations                                                                                       |          3 |         23 |          2 |         14 |         39 |
| DJANGO/courseClassBased/home/templates                                                                                        |          1 |          4 |          0 |          1 |          5 |
| DJANGO/courseClassBased/photos                                                                                                |         14 |        164 |          4 |         68 |        236 |
| DJANGO/courseClassBased/photos (Files)                                                                                        |          8 |        118 |          3 |         51 |        172 |
| DJANGO/courseClassBased/photos/migrations                                                                                     |          2 |         16 |          1 |          8 |         25 |
| DJANGO/courseClassBased/photos/templates                                                                                      |          4 |         30 |          0 |          9 |         39 |
| DJANGO/courseClassBased/photos/templates/photos                                                                               |          4 |         30 |          0 |          9 |         39 |
| DJANGO/courseClassBased/templates                                                                                             |          2 |         21 |          0 |          5 |         26 |
| DJANGO/courseClassBased/testingWebsite                                                                                        |          5 |         83 |         58 |         47 |        188 |
| DJANGO/courseFuncBase                                                                                                         |         34 |        353 |         98 |        159 |        610 |
| DJANGO/courseFuncBase (Files)                                                                                                 |          1 |         15 |          3 |          5 |         23 |
| DJANGO/courseFuncBase/djangoCourse                                                                                            |          5 |         88 |         59 |         49 |        196 |
| DJANGO/courseFuncBase/pages                                                                                                   |          7 |         21 |          6 |         17 |         44 |
| DJANGO/courseFuncBase/pages (Files)                                                                                           |          6 |         21 |          6 |         16 |         43 |
| DJANGO/courseFuncBase/pages/migrations                                                                                        |          1 |          0 |          0 |          1 |          1 |
| DJANGO/courseFuncBase/products                                                                                                |         17 |        182 |         28 |         75 |        285 |
| DJANGO/courseFuncBase/products (Files)                                                                                        |          8 |         90 |         24 |         37 |        151 |
| DJANGO/courseFuncBase/products/migrations                                                                                     |          5 |         52 |          4 |         26 |         82 |
| DJANGO/courseFuncBase/products/templates                                                                                      |          4 |         40 |          0 |         12 |         52 |
| DJANGO/courseFuncBase/products/templates/products                                                                             |          4 |         40 |          0 |         12 |         52 |
